frame,time_s,altitude_m,forward_clearance_m,left_clearance_m,right_clearance_m,vertical_speed_mps,roll_deg,pitch_deg,min_clearance_m,safety_risk,risk_level,recommended_action
0.0,0.0,3.2,9.5,4.1,4.3,0.1,0.2,1.0,4.1,0.0147,safe,keep_course
1.0,0.2,3.3,8.8,4.0,4.1,0.2,0.5,1.4,4.0,0.0232,safe,keep_course
2.0,0.4,3.4,7.2,3.8,3.7,0.3,0.8,2.1,3.7,0.0354,safe,keep_course
3.0,0.6,3.6,5.1,3.5,3.3,0.4,1.2,3.4,3.3,0.0562,safe,keep_course
4.0,0.8,3.8,3.2,2.9,2.8,0.6,2.4,5.6,2.8,0.1284,safe,keep_course
5.0,1.0,4.0,2.1,2.4,2.2,0.7,4.0,7.3,2.1,0.2761,safe,keep_course
6.0,1.2,4.1,1.5,1.9,1.7,0.4,5.1,8.6,1.5,0.3974,warning,brake_and_climb
7.0,1.4,4.0,1.1,1.5,1.3,-0.1,6.0,9.2,1.1,0.4888,warning,brake_and_climb
8.0,1.6,3.8,1.8,1.6,1.8,-0.4,5.2,7.1,1.6,0.4117,warning,shift_right
9.0,1.8,3.5,3.4,2.1,2.5,-0.5,3.7,4.8,2.1,0.3002,safe,keep_course
10.0,2.0,3.3,5.6,3.1,3.0,-0.2,1.9,2.2,3.0,0.0734,safe,keep_course
11.0,2.2,3.2,7.8,3.9,3.7,0.0,0.8,1.0,3.7,0.022,safe,keep_course
12.0,2.4,3.1,9.2,4.4,4.0,0.1,0.4,0.8,4.0,0.0147,safe,keep_course
13.0,2.6,3.0,6.1,2.5,2.7,-0.2,1.2,2.5,2.5,0.1452,safe,keep_course
14.0,2.8,2.8,3.8,1.8,2.0,-0.6,3.4,5.9,1.8,0.3677,warning,shift_right
15.0,3.0,2.5,2.3,1.2,1.5,-0.9,5.8,8.4,1.2,0.5615,warning,shift_right
16.0,3.2,2.3,1.6,0.9,1.1,-1.0,7.2,10.5,0.9,0.6758,critical,shift_right
17.0,3.4,2.2,2.0,1.0,1.3,-0.4,6.5,8.9,1.0,0.5692,warning,shift_right
18.0,3.6,2.4,4.6,2.0,2.2,0.2,3.0,4.0,2.0,0.2527,safe,keep_course
19.0,3.8,2.7,7.5,3.2,3.4,0.5,1.1,1.6,3.2,0.033,safe,keep_course
