frame,time_s,ego_speed_mps,lane_offset_m,heading_error_deg,left_marking_dist_m,right_marking_dist_m,curvature,traffic_density,risk_score,risk_level
0.0,0.0,8.5,0.04,0.3,1.76,1.84,0.012,0.25,0.196,low
1.0,0.2,8.8,0.06,0.5,1.74,1.86,0.014,0.28,0.2243,low
2.0,0.4,9.1,0.1,0.8,1.7,1.9,0.016,0.31,0.265,low
3.0,0.6,9.5,0.18,1.4,1.62,1.98,0.019,0.35,0.3393,low
4.0,0.8,9.8,0.31,2.2,1.49,2.11,0.024,0.42,0.4492,low
5.0,1.0,10.2,0.45,3.0,1.35,2.25,0.03,0.48,0.566,medium
6.0,1.2,10.4,0.61,4.1,1.19,2.41,0.036,0.55,0.7016,medium
7.0,1.4,10.7,0.72,4.8,1.08,2.52,0.041,0.61,0.7981,high
8.0,1.6,10.6,0.65,3.9,1.15,2.45,0.035,0.58,0.7138,medium
9.0,1.8,10.1,0.48,2.7,1.32,2.28,0.028,0.5,0.5625,medium
10.0,2.0,9.6,0.25,1.5,1.55,2.05,0.021,0.4,0.384,low
11.0,2.2,9.1,0.08,0.7,1.72,1.88,0.016,0.32,0.2535,low
12.0,2.4,8.7,-0.02,-0.1,1.82,1.78,0.013,0.27,0.1866,low
13.0,2.6,8.9,-0.12,-0.8,1.92,1.68,0.015,0.3,0.2673,low
14.0,2.8,9.4,-0.28,-1.9,2.08,1.52,0.023,0.43,0.4178,low
15.0,3.0,10.0,-0.51,-3.4,2.31,1.29,0.032,0.52,0.6135,medium
16.0,3.2,10.6,-0.77,-5.0,2.57,1.03,0.044,0.64,0.836,high
17.0,3.4,10.9,-0.91,-5.8,2.71,0.89,0.05,0.7,0.9516,high
18.0,3.6,10.7,-0.72,-4.3,2.52,1.08,0.039,0.61,0.7733,high
19.0,3.8,10.1,-0.46,-2.8,2.26,1.34,0.029,0.49,0.5595,medium
20.0,4.0,9.4,-0.2,-1.1,2.0,1.6,0.02,0.38,0.3398,low
21.0,4.2,8.9,-0.04,-0.2,1.84,1.76,0.014,0.29,0.2062,low
