frame,time_s,object_id,class_name,relative_x_m,relative_y_m,relative_vx_mps,relative_vy_mps,ego_speed_mps,ttc_s,lane_conflict,collision_risk,brake_action
0.0,0.0,101,vehicle,32.0,0.8,-5.1,0.0,11.0,6.278,0.5294,0.1482,keep_speed
1.0,0.2,101,vehicle,30.9,0.8,-5.3,0.0,11.2,5.834,0.5294,0.1482,keep_speed
2.0,0.4,101,vehicle,29.8,0.7,-5.6,-0.1,11.5,5.322,0.5882,0.1647,keep_speed
3.0,0.6,101,vehicle,28.4,0.6,-6.0,-0.1,11.8,4.734,0.6471,0.1812,keep_speed
4.0,0.8,101,vehicle,26.8,0.5,-6.4,-0.1,12.1,4.188,0.7059,0.2476,keep_speed
5.0,1.0,101,vehicle,25.0,0.4,-6.8,-0.1,12.4,3.677,0.7647,0.3459,prepare_brake
6.0,1.2,101,vehicle,22.8,0.3,-7.4,-0.1,12.7,3.081,0.8235,0.4576,soft_brake
7.0,1.4,101,vehicle,20.2,0.2,-8.2,0.0,13.0,2.464,0.8824,0.5729,soft_brake
8.0,1.6,101,vehicle,17.2,0.2,-8.8,0.0,13.2,1.955,0.8824,0.6543,soft_brake
9.0,1.8,101,vehicle,14.1,0.1,-9.1,0.0,13.3,1.55,0.9412,0.7356,soft_brake
10.0,2.0,101,vehicle,11.0,0.1,-9.4,0.0,13.1,1.17,0.9412,0.7963,emergency_brake
11.0,2.2,101,vehicle,8.6,0.1,-8.5,0.0,12.4,1.012,0.9412,0.8216,emergency_brake
12.0,2.4,101,vehicle,7.4,0.1,-6.8,0.0,11.0,1.088,0.9412,0.8094,emergency_brake
13.0,2.6,101,vehicle,7.1,0.1,-3.0,0.0,9.5,2.367,0.9412,0.6048,soft_brake
0.0,0.0,202,pedestrian,18.0,-4.2,-0.6,1.0,11.0,22.776,0.0,0.0,keep_speed
1.0,0.2,202,pedestrian,17.8,-3.9,-0.7,1.1,11.2,19.824,0.0,0.0,keep_speed
2.0,0.4,202,pedestrian,17.5,-3.4,-0.7,1.3,11.5,19.065,0.0,0.0,keep_speed
3.0,0.6,202,pedestrian,17.1,-2.8,-0.7,1.5,11.8,18.568,0.0,0.0,keep_speed
4.0,0.8,202,pedestrian,16.7,-2.1,-0.8,1.6,12.1,16.944,0.0455,0.015,keep_speed
5.0,1.0,202,pedestrian,16.2,-1.4,-0.8,1.7,12.4,17.236,0.3636,0.1201,keep_speed
6.0,1.2,202,pedestrian,15.8,-0.8,-0.7,1.4,12.7,20.548,0.6364,0.2103,keep_speed
7.0,1.4,202,pedestrian,15.4,-0.2,-0.6,1.0,13.0,25.127,0.9091,0.3004,prepare_brake
8.0,1.6,202,pedestrian,15.1,0.5,-0.5,0.8,13.2,31.924,0.7727,0.2553,prepare_brake
9.0,1.8,202,pedestrian,15.0,1.2,-0.3,0.6,13.3,59.905,0.4545,0.1502,keep_speed
0.0,0.0,303,bicycle,24.0,3.5,-2.0,-0.7,11.0,11.66,0.0,0.0,keep_speed
1.0,0.2,303,bicycle,23.5,3.2,-2.2,-0.8,11.2,10.367,0.0,0.0,keep_speed
2.0,0.4,303,bicycle,22.8,2.7,-2.6,-1.0,11.5,8.505,0.0,0.0,keep_speed
3.0,0.6,303,bicycle,21.8,2.1,-3.1,-1.2,11.8,6.842,0.0,0.0,keep_speed
4.0,0.8,303,bicycle,20.5,1.5,-3.5,-1.1,12.1,5.756,0.25,0.0756,keep_speed
5.0,1.0,303,bicycle,19.0,1.0,-4.0,-0.9,12.4,4.707,0.5,0.1512,keep_speed
6.0,1.2,303,bicycle,17.3,0.6,-4.4,-0.7,12.7,3.915,0.7,0.3128,prepare_brake
7.0,1.4,303,bicycle,15.4,0.3,-4.8,-0.5,13.0,3.203,0.85,0.4812,soft_brake
8.0,1.6,303,bicycle,13.2,0.1,-5.2,-0.3,13.2,2.537,0.95,0.6264,soft_brake
