frame,time_s,altitude_m,forward_clearance_m,left_clearance_m,right_clearance_m,vertical_speed_mps,roll_deg,pitch_deg
0,0.0,3.2,9.5,4.1,4.3,0.1,0.2,1.0
1,0.2,3.3,8.8,4.0,4.1,0.2,0.5,1.4
2,0.4,3.4,7.2,3.8,3.7,0.3,0.8,2.1
3,0.6,3.6,5.1,3.5,3.3,0.4,1.2,3.4
4,0.8,3.8,3.2,2.9,2.8,0.6,2.4,5.6
5,1.0,4.0,2.1,2.4,2.2,0.7,4.0,7.3
6,1.2,4.1,1.5,1.9,1.7,0.4,5.1,8.6
7,1.4,4.0,1.1,1.5,1.3,-0.1,6.0,9.2
8,1.6,3.8,1.8,1.6,1.8,-0.4,5.2,7.1
9,1.8,3.5,3.4,2.1,2.5,-0.5,3.7,4.8
10,2.0,3.3,5.6,3.1,3.0,-0.2,1.9,2.2
11,2.2,3.2,7.8,3.9,3.7,0.0,0.8,1.0
12,2.4,3.1,9.2,4.4,4.0,0.1,0.4,0.8
13,2.6,3.0,6.1,2.5,2.7,-0.2,1.2,2.5
14,2.8,2.8,3.8,1.8,2.0,-0.6,3.4,5.9
15,3.0,2.5,2.3,1.2,1.5,-0.9,5.8,8.4
16,3.2,2.3,1.6,0.9,1.1,-1.0,7.2,10.5
17,3.4,2.2,2.0,1.0,1.3,-0.4,6.5,8.9
18,3.6,2.4,4.6,2.0,2.2,0.2,3.0,4.0
19,3.8,2.7,7.5,3.2,3.4,0.5,1.1,1.6
