frame,time_s,object_id,class_name,relative_x_m,relative_y_m,relative_vx_mps,relative_vy_mps,ego_speed_mps
0,0.0,101,vehicle,32.0,0.8,-5.1,0.0,11.0
1,0.2,101,vehicle,30.9,0.8,-5.3,0.0,11.2
2,0.4,101,vehicle,29.8,0.7,-5.6,-0.1,11.5
3,0.6,101,vehicle,28.4,0.6,-6.0,-0.1,11.8
4,0.8,101,vehicle,26.8,0.5,-6.4,-0.1,12.1
5,1.0,101,vehicle,25.0,0.4,-6.8,-0.1,12.4
6,1.2,101,vehicle,22.8,0.3,-7.4,-0.1,12.7
7,1.4,101,vehicle,20.2,0.2,-8.2,0.0,13.0
8,1.6,101,vehicle,17.2,0.2,-8.8,0.0,13.2
9,1.8,101,vehicle,14.1,0.1,-9.1,0.0,13.3
10,2.0,101,vehicle,11.0,0.1,-9.4,0.0,13.1
11,2.2,101,vehicle,8.6,0.1,-8.5,0.0,12.4
12,2.4,101,vehicle,7.4,0.1,-6.8,0.0,11.0
13,2.6,101,vehicle,7.1,0.1,-3.0,0.0,9.5
0,0.0,202,pedestrian,18.0,-4.2,-0.6,1.0,11.0
1,0.2,202,pedestrian,17.8,-3.9,-0.7,1.1,11.2
2,0.4,202,pedestrian,17.5,-3.4,-0.7,1.3,11.5
3,0.6,202,pedestrian,17.1,-2.8,-0.7,1.5,11.8
4,0.8,202,pedestrian,16.7,-2.1,-0.8,1.6,12.1
5,1.0,202,pedestrian,16.2,-1.4,-0.8,1.7,12.4
6,1.2,202,pedestrian,15.8,-0.8,-0.7,1.4,12.7
7,1.4,202,pedestrian,15.4,-0.2,-0.6,1.0,13.0
8,1.6,202,pedestrian,15.1,0.5,-0.5,0.8,13.2
9,1.8,202,pedestrian,15.0,1.2,-0.3,0.6,13.3
0,0.0,303,bicycle,24.0,3.5,-2.0,-0.7,11.0
1,0.2,303,bicycle,23.5,3.2,-2.2,-0.8,11.2
2,0.4,303,bicycle,22.8,2.7,-2.6,-1.0,11.5
3,0.6,303,bicycle,21.8,2.1,-3.1,-1.2,11.8
4,0.8,303,bicycle,20.5,1.5,-3.5,-1.1,12.1
5,1.0,303,bicycle,19.0,1.0,-4.0,-0.9,12.4
6,1.2,303,bicycle,17.3,0.6,-4.4,-0.7,12.7
7,1.4,303,bicycle,15.4,0.3,-4.8,-0.5,13.0
8,1.6,303,bicycle,13.2,0.1,-5.2,-0.3,13.2
