candidate_delay_s,alignment_rmse_m
-0.800000,5.502733
-0.790000,5.459507
-0.780000,5.415063
-0.770000,5.369514
-0.760000,5.323863
-0.750000,5.278924
-0.740000,5.235102
-0.730000,5.192048
-0.720000,5.149230
-0.710000,5.105807
-0.700000,5.061169
-0.690000,5.015826
-0.680000,4.970476
-0.670000,4.926004
-0.660000,4.882633
-0.650000,4.839858
-0.640000,4.797154
-0.630000,4.753321
-0.620000,4.708343
-0.610000,4.662825
-0.600000,4.617158
-0.590000,4.572546
-0.580000,4.528964
-0.570000,4.485663
-0.560000,4.442251
-0.550000,4.397664
-0.540000,4.351912
-0.530000,4.305764
-0.520000,4.259981
-0.510000,4.215374
-0.500000,4.171592
-0.490000,4.128306
-0.480000,4.084644
-0.470000,4.039672
-0.460000,3.993737
-0.450000,3.947586
-0.440000,3.902174
-0.430000,3.857885
-0.420000,3.814426
-0.410000,3.771336
-0.400000,3.727338
-0.390000,3.682129
-0.380000,3.636250
-0.370000,3.590058
-0.360000,3.544918
-0.350000,3.500957
-0.340000,3.457619
-0.330000,3.414352
-0.320000,3.369853
-0.310000,3.324123
-0.300000,3.277789
-0.290000,3.231514
-0.280000,3.186421
-0.270000,3.142172
-0.260000,3.098448
-0.250000,3.054567
-0.240000,3.009372
-0.230000,2.962852
-0.220000,2.916016
-0.210000,2.869835
-0.200000,2.824780
-0.190000,2.780623
-0.180000,2.737009
-0.170000,2.692776
-0.160000,2.647215
-0.150000,2.600761
-0.140000,2.554031
-0.130000,2.508205
-0.120000,2.463602
-0.110000,2.419853
-0.100000,2.376369
-0.090000,2.331774
-0.080000,2.286045
-0.070000,2.239617
-0.060000,2.193132
-0.050000,2.147878
-0.040000,2.103862
-0.030000,2.060433
-0.020000,2.017036
-0.010000,1.972473
0.000000,1.926606
0.010000,1.880197
0.020000,1.834179
0.030000,1.789585
0.040000,1.745944
0.050000,1.702874
0.060000,1.659320
0.070000,1.614370
0.080000,1.568277
0.090000,1.521861
0.100000,1.476260
0.110000,1.431894
0.120000,1.388637
0.130000,1.345851
0.140000,1.302113
0.150000,1.257168
0.160000,1.211454
0.170000,1.165700
0.180000,1.121141
0.190000,1.078079
0.200000,1.035916
0.210000,0.993905
0.220000,0.951169
0.230000,0.907171
0.240000,0.862950
0.250000,0.819195
0.260000,0.777066
0.270000,0.736381
0.280000,0.696680
0.290000,0.657367
0.300000,0.617517
0.310000,0.576959
0.320000,0.537615
0.330000,0.499708
0.340000,0.464240
0.350000,0.431196
0.360000,0.400625
0.370000,0.372644
0.380000,0.347006
0.390000,0.325121
0.400000,0.309071
0.410000,0.299675
0.420000,0.297140
0.430000,0.301768
0.440000,0.313572
0.450000,0.332104
0.460000,0.355445
0.470000,0.383661
0.480000,0.415319
0.490000,0.449064
0.500000,0.483959
0.510000,0.519839
0.520000,0.557135
0.530000,0.596782
0.540000,0.637534
0.550000,0.679549
0.560000,0.721860
0.570000,0.763616
0.580000,0.804920
0.590000,0.846000
0.600000,0.887785
0.610000,0.930986
0.620000,0.975109
0.630000,1.019995
0.640000,1.064392
0.650000,1.107642
0.660000,1.149950
0.670000,1.191794
0.680000,1.234850
0.690000,1.278918
0.700000,1.323930
0.710000,1.369601
0.720000,1.414135
0.730000,1.457473
0.740000,1.499906
0.750000,1.542195
0.760000,1.585986
0.770000,1.630824
0.780000,1.676711
0.790000,1.722516
0.800000,1.767027
